mutation,rorgt
WT,11.04
WT,53.63
WT,12.76
WT,19.75
WT,13.97
WT,1.71
WT,39.3
KRAS MT,183.76
KRAS MT,24.35
KRAS MT,409.73
KRAS MT,132.12
KRAS MT,570.77
KRAS MT,80.71
KRAS MT,245.25
KRAS MT,15.18
