mutation,rorgt
WT,11.04
WT,53.63
WT,12.76
WT,19.75
WT,13.97
WT,1.71
WT,39.3
STK11 MT,83.68
STK11 MT,31.29
STK11 MT,124.81
STK11 MT,0.82
